school,title,topic,time,custom_minutes_per_week,location,requirements,description_evaluation_method,description_overview
MUSIC,CONDUCT 340-3-1 Advanced Conducting Orchestral,,MoWeFr 10:00AM - 11:50AM,330,Pick-Staiger Rehearsal Room,[],,Contact the department for further information
MUSIC,CONDUCT 374-0-1 Band Organizations,Conducting,TuTh 2:10PM - 4:10PM,240,Regenstein Hall of Music 011,[],,Contact the department for further information
MUSIC,CONDUCT 374-0-2 Band Organizations,Concert Band,MoWeFr 2:10PM - 4:10PM,360,Regenstein Hall of Music 011,[],,Contact the department for further information
MUSIC,CONDUCT 374-0-3 Band Organizations,Concert Band,MoWe 4:20PM - 6:00PM,200,Regenstein Hall of Music 011,[],,Contact the department for further information
MUSIC,CONDUCT 395-0-1 Baroque Music Ensemble,,WeFr 12:30PM - 1:50PM,160,TBA,[],,Contact the department for further information
MUSIC,CONDUCT 326-0-1 Basic Conducting,,MoWeFr 9:00AM - 10:50AM,330,Regenstein Hall of Music 011,"['AddInstructorConsent', 'DropInstructorConsent']",,Contact the department for further information
MUSIC,CONDUCT 326-0-2 Basic Conducting,,MoWeFr 11:00AM - 12:50PM,330,RCMA Opera Theater 1-140,['AddInstructorConsent'],,Contact the department for further information
MUSIC,CONDUCT 391-0-1 Chamber Music,Chamber Music - Winds,Tu 4:30PM - 5:20PM,50,RCMA Choral Room 1-190,['MajorMusic'],,Contact the department for further information
MUSIC,CONDUCT 391-0-2 Chamber Music,Chamber Music - Winds,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,CONDUCT 391-0-3 Chamber Music,Chamber Music for Strings,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,CONDUCT 391-0-4 Chamber Music,Chamber Music for Strings,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,CONDUCT 491-0-1 Chamber Music,Chamber Music - Winds,Tu 4:30PM - 5:20PM,50,RCMA Choral Room 1-190,[],,Contact the department for further information
MUSIC,CONDUCT 491-0-2 Chamber Music,Chamber Music - Winds,TBA,,TBA,[],,Contact the department for further information
MUSIC,CONDUCT 491-0-3 Chamber Music,Chamber Music for Strings,TBA,,TBA,[],,Contact the department for further information
MUSIC,CONDUCT 491-0-4 Chamber Music,Chamber Music for Strings,TBA,,TBA,[],,Contact the department for further information
MUSIC,CONDUCT 364-0-1 Choral Organizations,University Singers,MoWeFr 3:30PM - 4:50PM,240,RCMA Choral Room 1-190,[],,Contact the department for further information
MUSIC,CONDUCT 364-0-2 Choral Organizations,University Chorale,MoWeFr 2:00PM - 3:20PM,240,RCMA Choral Room 1-190,[],,Contact the department for further information
MUSIC,CONDUCT 364-0-3 Choral Organizations,Contemporary/Early Vocal Ensemble,MoWeFr 5:00PM - 6:20PM,240,RCMA Choral Room 1-190,[],,Contact the department for further information
MUSIC,CONDUCT 364-0-4 Choral Organizations,Chapel Choir,TuTh 4:00PM - 5:20PM,160,Parkes Hall Choir Room 034,[],,Contact the department for further information
MUSIC,CONDUCT 364-0-5 Choral Organizations,Northwestern Camerata,MoWe 3:30PM - 4:50PM,160,Parkes Hall Choir Room 034,[],,Contact the department for further information
MUSIC,CONDUCT 378-0-1 Contemporary Music Ensemble,,MoWeFr 9:00AM - 10:50AM,330,Pick-Staiger Concert Stage,['MajorMusic'],,Contact the department for further information
MUSIC,CONDUCT 585-0-1 DMA Lecture Recital,,TBA,,TBA,[],,Contact the department for further information
MUSIC,CONDUCT 585-0-2 DMA Lecture Recital,Coursework,TBA,,TBA,[],,Contact the department for further information
MUSIC,CONDUCT 580-0-1 DMA Recital,,TBA,,TBA,[],,Contact the department for further information
MUSIC,CONDUCT 595-0-1 DMA Research Document,,TBA,,TBA,[],,Contact the department for further information
MUSIC,CONDUCT 480-0-1 MM Recital,,TBA,,TBA,[],,Contact the department for further information
MUSIC,CONDUCT 445-0-1 Orchestral Bowing:  Style and Function,,MoWe 8:30AM - 9:50AM,160,RCMA Lower Level 115,[],,Contact the department for further information
MUSIC,CONDUCT 345-0-1 Orchestral Bowing: Style and Function,,MoWe 8:30AM - 9:50AM,160,RCMA Lower Level 115,[],,Contact the department for further information
MUSIC,CONDUCT 393-0-1 Orchestral Organizations,Chamber Orchestra,TuTh 2:10PM - 4:10PM,240,Pick-Staiger Rehearsal Room,[],,Contact the department for further information
MUSIC,CONDUCT 393-0-2 Orchestral Organizations,Symphony Orchestra,MoWeFr 2:10PM - 4:10PM,360,Pick-Staiger Rehearsal Room,[],,Contact the department for further information
MUSIC,CONDUCT 393-0-3 Orchestral Organizations,Philharmonia,MoWe 4:30PM - 5:50PM,160,Pick-Staiger Rehearsal Room,[],,Contact the department for further information
MUSIC,CONDUCT 335-0-1 Selected Topics,Roles and Activities of Music Director,TuTh 12:30PM - 1:50PM,160,Parkes Hall Choir Room 034,[],,Contact the department for further information
MUSIC,CONDUCT 440-0-1 Seminar in Conducting,,TuTh 10:00AM - 11:50AM,220,Regenstein Hall of Music 011,[],,Contact the department for further information
MUSIC,CONDUCT 440-0-2 Seminar in Conducting,,TuTh 12:00PM - 1:50PM,220,RCMA Choral Room 1-190,[],,Contact the department for further information
MUSIC,CONDUCT 440-0-3 Seminar in Conducting,,TuTh 10:00AM - 11:50AM,220,Pick-Staiger Rehearsal Room,[],,Contact the department for further information
MUSIC,CONDUCT 540-0-1 Seminar in Conducting,,TuTh 10:00AM - 11:50AM,220,Regenstein Hall of Music 011,[],,Contact the department for further information
MUSIC,CONDUCT 540-0-2 Seminar in Conducting,,TuTh 12:00PM - 1:50PM,220,RCMA Choral Room 1-190,[],,Contact the department for further information
MUSIC,CONDUCT 540-0-3 Seminar in Conducting,,TuTh 10:00AM - 11:50AM,220,Pick-Staiger Rehearsal Room,[],,Contact the department for further information
MUSIC,GEN_MUS 374-0-1 Band Organizations,Symph Wind Ensem,TuTh 2:10PM - 4:10PM,240,Regenstein Hall of Music 011,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,GEN_MUS 374-0-2 Band Organizations,Symphonic Wind Ensemble,MoWeFr 2:10PM - 4:10PM,360,Regenstein Hall of Music 011,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,GEN_MUS 374-0-3 Band Organizations,Concert Band,MoWe 4:20PM - 6:00PM,200,Regenstein Hall of Music 011,[],,Contact the department for further information
MUSIC,GEN_MUS 395-0-1 Baroque Music Ensemble,,WeFr 12:30PM - 1:50PM,160,TBA,[],,Contact the department for further information
MUSIC,GEN_MUS 364-0-1 Choral Organizations,Univ Singers,MoWeFr 3:30PM - 4:50PM,240,RCMA Choral Room 1-190,[],,Contact the department for further information
MUSIC,GEN_MUS 364-0-2 Choral Organizations,Univ Chorale,MoWeFr 2:00PM - 3:20PM,240,RCMA Choral Room 1-190,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,GEN_MUS 364-0-3 Choral Organizations,Contemporary/Early Vocal Ensemble,MoWeFr 5:00PM - 6:20PM,240,RCMA Choral Room 1-190,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,GEN_MUS 364-0-4 Choral Organizations,Chapel Choir,TuTh 4:00PM - 5:20PM,160,Parkes Hall Choir Room 034,[],,Contact the department for further information
MUSIC,GEN_MUS 364-0-5 Choral Organizations,Northwestern Camerata,MoWe 3:30PM - 4:50PM,160,Parkes Hall Choir Room 034,[],,Contact the department for further information
MUSIC,GEN_MUS 378-0-1 Contemporary Music Ensemble,,MoWeFr 9:00AM - 10:50AM,330,Pick-Staiger Concert Stage,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,GEN_MUS 101-6-1 First-Year Seminar,1st Rehearse to Final Perform,MoWe 2:00PM - 3:20PM,160,RCMA 1-164,"['Freshmen;Sophmores', 'AddInstructorConsent']",,"This seminar is designed for the general campus student. Students with a music major, or a dual degree with music, are not permitted to register for this seminar. The course is designed to provide opportunities for music aficionados to experience music and music theater events from the inside-out. The only prerequisite for the course is a love of the performing arts - you don't have to read, perform, or understand music notation to succeed. However, you have to be prepared to spend a lot of time attending rehearsals and concerts (minimally six to eight hours a week), outside of the two required class sessions. During and outside of classroom sessions, the instructor and invited guests will attempt to nurture a heightened awareness of the challenges that conductors, opera and music theater directors and musicians/actors face when preparing for a performance. Through a series of observations, presentations, interviews, and interactive discussions/seminars, you will be better prepared to listen, observe, and critically analyze performing arts events on and off campus - during this academic quarter, and hopefully for the rest of your life. After Week One's introduction to the course and the music library, the Week Two class sessions will concentrate on conducting lessons and video observations of concerts and rehearsals. In these initial sessions, you will learn many of the techniques needed to lead the world's greatest instrumental and choral ensembles (of course, with many additional years of practice). Course participants, using their required conductor's baton and music CDs will learn a variety of conducting techniques - mastering beat patterns, the expressive use of the left hand, and using the conducting gesture to communicate interpretation, phrasing, dynamic shading. You may never conduct a major ensemble, but after meeting the requirements of the class you should have the knowledge and understanding to critically analyze conductors during your future career as a member of audiences for classical and popular music concerts."
MUSIC,GEN_MUS 230-0-1 History of Opera,,TuTh 2:00PM - 3:20PM,160,RCMA 1-180,[],,"This introductory survey of opera covers a span of over 400 years in its exploration of the genre's history as a form of staged musical drama. Beginning with the fundamental building blocks of the genre?such as the makeup of the operatic orchestra and the cast of singers?the class will then cover opera's early 17th-century origins before then progressing through the 18th, 19th, and 20th centuries, tracking opera's stylistic and thematic developments within each of these periods while also relating them to the larger sociopolitical changes which they may be seen to reflect. Students will be expected to participate in class discussions, regularly submit discussion posts in response to readings, and to view and listen to a selection of operas determined by the instructor."
MUSIC,GEN_MUS 170-0-1 Introduction to Music,,TuTh 9:30AM - 10:50AM,160,RCMA 1-176,[],,"This course introduces students to new ways of thinking about music, by examining the connections between musical practice and social, political, and cultural values: What is the role of music in today's world and how did it shape the generations of the 20th century? Topics will be inclusive of popular and World music, as well as Western art music. Through readings, active listening, written assignments, and concert attendance, students will develop a better cultural awareness through musical knowledge. Assessments also include quizzes and exams for which students will be expected to prepare. This class does not require any prior musical training."
MUSIC,GEN_MUS 170-0-2 Introduction to Music,,TuTh 11:00AM - 12:20PM,160,RCMA 1-180,[],,"This course functions as an introduction to music through the lenses of sound acoustics sound/music perception and cognition; and fundamental musical concepts. These concepts, or musical &quot;elements,&quot; include patterns such as scales in addition to parameters of melody, dynamics, rhythm, harmony, texture, and timbre. Readings and discussions will pertain to a variety of topics, perspectives, and methods including: music and social function, music and language, music and philosophy, and notation. Students will be evaluated on the basis of reading responses, participation in class discussions, attendance, quizzes, and a final project."
MUSIC,GEN_MUS 170-0-3 Introduction to Music,,MoWe 2:00PM - 3:20PM,160,RCMA 1-168,[],,"This course will be a concentrated survey of Western music from the Baroque period to the 20th century. With an emphasis on principal composers, musicians, and genres, we will examine and learn to appreciate aspects of musical style and aesthetics. Students will be expected to learn to recognize stylistic trends in music history, identify the works of major composers and/or schools of composition or performance, analyze music using appropriate vocabulary, and place musical works within their historical and social contexts. Student evaluation will be based on quizzes, a midterm and final exam, a presentation, participation, and exercises to be completed during each class meeting."
MUSIC,GEN_MUS 133-0-1 Non-Major Class Voice-Beginning,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 133-0-2 Non-Major Class Voice-Beginning,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 133-0-3 Non-Major Class Voice-Beginning,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 133-0-4 Non-Major Class Voice-Beginning,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 133-0-5 Non-Major Class Voice-Beginning,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 121-0-1 Non-Major Guitar Class-Beginning,,WeFr 4:00PM - 4:50PM,100,RCMA Lower Level 111,[],,Contact the department for further information
MUSIC,GEN_MUS 130-0-1 Non-Major Jazz,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 116-0-1 Non-Major Piano,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 116-0-2 Non-Major Piano,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 316-0-1 Non-Major Piano - Graduate,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 115-0-1 Non-Major Piano and Organ,Piano,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 115-0-2 Non-Major Piano and Organ,Organ,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 315-0-1 Non-Major Piano and Organ,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 360-0-1 Non-Major Private Voice-Advanced,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 160-0-1 Non-Major Private Voice-Beginning,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 260-0-1 Non-Major Private Voice-Intermediate,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 260-0-2 Non-Major Private Voice-Intermediate,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 120-0-1 Non-Major Strings,Violin,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
